format version: 0.3,v0.0.35-bluetooth-qa,16,16,11,9
1000,0,mtk00128,Male,53,159,61,12345,12345,12345,12345,12345,12345,1513649158218
5,0,2488,18073,28584,32416,34838,33044,27859,25504,29518,33135,34528,34740,1513649158995
5,12,36827,35485,31184,27299,27926,29894,32060,34455,36188,37525,35362,30912,1513649158995
9,0,129261,129554,135731,140839,145057,148552,151449,153847,155823,157454,158795,159909,1513649158997
9,12,160833,161595,162224,162745,163181,163539,163833,164080,164284,164443,164582,164700,1513649158997
9,24,164800,164886,164951,165010,165053,165092,165125,165156,165176,165195,165212,165223,1513649158997
10,0,134789,133036,132428,131920,131505,131160,130856,130618,130442,130296,130174,130079,1513649158998
10,12,129997,129935,129876,129834,129795,130846,137742,143536,148311,152263,155531,158235,1513649158999
10,24,160470,162317,163841,165103,166151,167015,167734,168321,168810,169216,169554,169831,1513649159000
10,36,170059,170253,170408,170537,170642,170732,170806,170864,170915,170958,170995,171022,1513649159000
5,24,27841,29649,31832,34236,35763,37805,36347,31811,26962,27029,29809,32400,1513649159070
5,36,34131,35649,37108,34120,29869,26990,28046,29999,32895,34619,36926,36645,1513649159071
5,48,32532,26538,27572,30770,31599,33789,35685,37586,33698,29579,27223,28800,1513649159071
9,36,165235,165247,165259,165269,165279,165283,165291,165300,165304,165307,165312,165313,1513649159073
9,48,165313,165322,165327,165325,165328,165331,165337,165335,165333,165338,165341,165341,1513649159073
9,60,165340,165340,165339,165337,165335,165329,165324,165319,165311,165303,165297,165292,1513649159074
9,72,165278,165272,165263,165252,165238,165225,165217,165200,165191,165179,165163,165152,1513649159074
10,48,171051,171073,171089,171099,171112,171121,171128,171135,171140,171145,171148,171151,1513649159107
10,60,171151,171154,171150,171154,171151,171153,171150,171152,171149,171140,171139,171137,1513649159107
10,72,171131,171126,171122,171117,171109,171100,171097,171091,171082,171073,171072,171068,1513649159107
10,84,171059,171054,171047,171040,171033,171029,171024,171017,171013,171005,171002,170993,1513649159108
5,60,31290,33670,34339,35879,36591,32674,27038,26977,29533,31673,34011,34343,1513649159142
5,72,36526,35914,31052,27764,28731,30659,33154,34838,36411,36671,33178,28098,1513649159143
5,84,27852,29371,32355,34388,35800,37704,36698,31326,26671,28902,31542,33624,1513649159143
5,96,35644,36884,37391,34938,29456,27264,29344,30996,34566,35542,36878,36056,1513649159144
5,108,32151,27691,27955,29428,32356,34978,36884,37919,34794,28588,26503,28741,1513649159144
9,84,165138,165126,165116,165094,165081,165065,165052,165041,165026,165011,164999,164984,1513649159294
9,96,164967,164949,164934,164923,164908,164897,164885,164871,164857,164852,164838,164834,1513649159299
9,108,164821,164811,164800,164792,164785,164774,164768,164757,164749,164740,164731,164723,1513649159299
9,120,164717,164712,164703,164699,164696,164692,164687,164683,164677,164670,164668,164660,1513649159299
9,132,164655,164646,164643,164638,164633,164630,164627,164623,164620,164616,164611,164605,1513649159300
10,96,170992,170982,170974,170965,170958,170952,170948,170944,170943,170934,170936,170927,1513649159301
10,108,170925,170921,170918,170910,170907,170900,170898,170896,170888,170886,170884,170881,1513649159303
10,120,170878,170873,170869,170870,170870,170864,170863,170859,170856,170860,170855,170853,1513649159303
10,132,170850,170850,170845,170847,170847,170839,170836,170833,170831,170831,170826,170819,1513649159304
10,144,170819,170821,170817,170812,170820,170812,170812,170804,170804,170801,170796,170796,1513649159304
5,120,30504,32277,33087,35455,34847,30278,24439,25632,28737,31002,32956,33431,1513649159305
5,132,34701,32276,25841,23674,26576,28578,29905,32597,34463,32246,28286,23447,1513649159305
5,144,23884,26584,28900,30782,31769,32865,30852,26928,23448,24767,26468,29530,1513649159305
5,156,29588,31997,31995,27646,22945,23254,26252,28287,30158,30963,32993,30615,1513649159306
9,144,164603,164596,164588,164583,164577,164572,164573,164563,164561,164552,164548,164545,1513649159307
9,156,164541,164529,164526,164521,164515,164507,164502,164495,164492,164485,164477,164475,1513649159307
