format version: 0.3,v0.0.35-bluetooth-qa,16,16,11,9
1000,0,mtk00936,Female,37,169,72,12345,12345,12345,12345,12345,12345,1512530066753
5,0,10558,50217,53547,48082,45003,43237,42243,39873,36984,35518,35130,33502,1512530067490
5,12,32721,33919,35079,34137,33847,31295,27528,27074,28329,29520,31409,30212,1512530067490
9,0,129451,130875,138540,144871,150103,154431,158012,160982,163434,165454,167129,168504,1512530067492
9,12,169638,170583,171358,172005,172543,172981,173350,173642,173896,174100,174277,174416,1512530067492
9,24,174535,174631,174711,174782,174838,174877,174914,174949,174982,174994,175010,175025,1512530067492
10,0,134839,133032,132420,131915,131501,131160,130867,130625,130445,130306,130190,130096,1512530067558
10,12,130020,129959,129908,129859,129828,132747,141774,149263,155462,160589,164829,168338,1512530067559
10,24,171241,173642,175625,177265,178614,179730,180656,181424,182049,182563,182996,183354,1512530067559
10,36,183645,183896,184095,184261,184397,184511,184603,184682,184752,184807,184849,184877,1512530067559
5,24,27509,27885,26708,27029,28351,27660,27458,28382,30428,29537,27547,26523,1512530067560
5,36,26197,26029,26625,27854,28166,27385,27306,26118,24725,23674,25477,26298,1512530067561
5,48,26284,25700,25843,25383,23866,22748,23551,24468,25561,27095,27315,26367,1512530067561
9,36,175042,175056,175059,175064,175077,175077,175080,175092,175099,175102,175102,175104,1512530067561
9,48,175106,175109,175124,175123,175133,175134,175132,175129,175130,175135,175137,175148,1512530067562
9,60,175152,175161,175162,175162,175162,175165,175164,175169,175168,175176,175184,175183,1512530067562
9,72,175190,175201,175204,175207,175213,175208,175218,175222,175226,175230,175236,175238,1512530067562
10,48,184913,184938,184962,184987,185000,185009,185016,185026,185030,185035,185041,185050,1512530067605
10,60,185056,185059,185058,185063,185068,185073,185072,185070,185074,185079,185084,185084,1512530067605
10,72,185086,185091,185095,185092,185094,185093,185085,185080,185086,185090,185099,185101,1512530067606
10,84,185105,185106,185108,185111,185112,185119,185115,185120,185114,185114,185109,185113,1512530067606
5,60,23503,21433,23042,24011,23893,25995,26107,25672,24857,22235,23209,22857,1512530067609
5,72,22000,24060,25250,24783,25112,23175,21858,22387,22884,23212,24362,25882,1512530067609
5,84,24972,23271,22551,21955,21788,22017,23296,25856,27813,24153,23161,21150,1512530067610
5,96,21573,22689,23855,24883,25274,25324,23716,21503,21414,21502,22372,24499,1512530067610
9,84,175244,175248,175244,175247,175258,175262,175265,175270,175271,175272,175277,175281,1512530067717
9,96,175285,175287,175291,175290,175300,175304,175303,175305,175310,175310,175315,175319,1512530067718
9,108,175322,175315,175319,175324,175325,175324,175325,175327,175324,175328,175334,175339,1512530067718
9,120,175347,175355,175363,175371,175362,175359,175358,175354,175355,175362,175368,175370,1512530067718
10,96,185114,185118,185122,185126,185129,185134,185133,185140,185139,185142,185146,185148,1512530067719
10,108,185154,185150,185151,185150,185156,185152,185149,185153,185154,185153,185157,185156,1512530067719
10,120,185149,185154,185159,185162,185164,185162,185161,185160,185159,185158,185159,185164,1512530067720
10,132,185166,185170,185171,185173,185174,185176,185175,185179,185179,185177,185182,185182,1512530067720
5,108,25222,23454,23073,21899,21203,20131,20432,20649,21813,23805,23931,23290,1512530067721
5,120,20856,19918,20615,20759,21054,21258,22339,23576,21879,19142,19420,21869,1512530067721
5,132,21138,21437,22585,22325,20951,19840,19922,18929,19289,20539,21098,21270,1512530067721
5,144,22558,22095,21221,21335,21836,22750,25420,27823,27325,26063,24244,22557,1512530067722
9,132,175375,175376,175377,175378,175379,175379,175385,175383,175387,175390,175399,175408,1512530067730
9,144,175415,175418,175418,175414,175421,175424,175440,175444,175448,175456,175453,175454,1512530067730
9,156,175449,175459,175464,175474,175477,175472,175471,175479,175485,175485,175487,175488,1512530067730
10,144,185191,185191,185195,185199,185188,185186,185189,185197,185192,185201,185206,185204,1512530067762
10,156,185205,185203,185202,185210,185214,185221,185221,185217,185219,185226,185229,185229,1512530067762
10,168,185226,185225,185220,185218,185220,185228,185230,185232,185241,185235,185232,185242,1512530067762
10,180,185244,185244,185243,185237,185235,185241,185238,185243,185246,185240,185248,185251,1512530067762
5,156,21482,20267,20328,20563,20265,19005,16066,14116,14512,16580,17693,17614,1512530067815
5,168,18846,20408,19536,17789,18660,19396,21138,21273,22437,21933,21071,19709,1512530067816
5,180,19227,18943,20078,20445,19893,20727,21847,21906,19686,19874,19456,19464,1512530067816
5,192,19594,20686,21975,22497,21244,19425,18986,19519,19435,19566,21398,20887,1512530067817
9,168,175488,175486,175495,175493,175500,175508,175510,175510,175510,175511,175518,175525,1512530067821
9,180,175525,175525,175524,175525,175532,175538,175545,175541,175546,175549,175559,175561,1512530067822
9,192,175559,175562,175571,175571,175570,175576,175579,175579,175588,175594,175592,175602,1512530067822
9,204,175600,175592,175601,175604,175599,175597,175604,175610,175612,175621,175626,175628,1512530067823
10,192,185256,185253,185256,185261,185267,178657,173166,168639,164889,161791,159225,157103,1512530067854
10,204,155351,153907,152711,151714,150900,150227,149667,149202,148823,148508,148245,148034,1512530067854
10,216,147859,147712,147589,147493,147405,147342,147281,147237,147197,147169,147142,147124,1512530067855
5,204,19999,19243,19123,18510,18185,18791,19072,20455,20867,19899,18917,19060,1512530067883
5,216,18283,18224,21012,22883,22000,20836,18521,17973,18388,18900,18182,18902,1512530067883
5,228,21590,22617,21688,19116,17246,18938,20728,20372,21495,22374,20164,17714,1512530067884
5,240,15922,17972,19852,19189,20204,22002,21154,20065,17998,17455,17654,18559,1512530067885
9,216,175630,175636,175644,175654,175648,175649,175660,175660,175660,175663,175672,175667,1512530067912
9,228,175673,175680,175677,175685,175687,175691,175687,175691,175700,175701,175703,175703,1512530067912
9,240,175711,175722,175725,175731,175736,175732,175737,175741,175745,175748,175749,175755,1512530067913
9,252,175761,175761,175757,175755,175756,175763,175764,175757,175757,175762,175760,175755,1512530067913
10,228,147103,147092,147081,147070,147061,147053,147050,147048,147045,147040,147045,147046,1512530067940
10,240,147042,147041,147045,147044,147044,147043,147043,147047,147049,147047,147052,147053,1512530067940
10,252,147052,147049,147056,147060,147052,147058,147056,147059,147055,147050,147053,147046,1512530067941
10,264,147045,147043,147045,147040,147034,147034,147034,147024,147020,147017,147013,147007,1512530067941
5,252,19799,21868,20558,22101,21150,18878,18330,18632,18813,20634,23187,21808,1512530067975
5,264,21106,19949,19781,19774,20198,20036,21792,22478,21843,20826,18933,18540,1512530067976
5,276,20371,22098,21719,21908,22380,21255,20607,19134,19117,20613,21661,22279,1512530067977
9,264,175748,175740,175729,175728,175719,175707,175688,175673,175668,175647,175629,175623,1512530067999
9,276,175604,175585,175569,175551,175538,175525,175498,175479,175468,175450,175435,175412,1512530067999
9,288,175389,175369,175357,175335,175316,175294,175282,175273,175266,175238,175224,175210,1512530068000
9,300,175204,175193,175178,175159,175153,175149,175140,175132,175121,175114,175104,175097,1512530068001
10,276,146995,146997,146990,146984,146981,146972,146963,146955,146942,146931,146924,146918,1512530068031
10,288,146911,146904,146900,146895,146891,146885,146875,146869,146861,146859,146851,146848,1512530068032
10,300,146840,146834,146833,146835,146831,146826,146817,146816,146816,146807,146808,146809,1512530068032
10,312,146807,146806,146803,146801,146803,146808,146800,146804,146800,146801,146799,146798,1512530068033
5,288,22809,22398,20186,18968,18708,17374,18326,20329,21280,21089,20456,18074,1512530068060
5,300,18006,17293,16382,18305,19680,19973,18935,18755,17489,15555,16876,17891,1512530068060
5,312,17943,19766,18819,17776,17074,18135,16102,16797,18956,18866,19455,19685,1512530068061
5,324,18148,16736,16640,16557,17427,17426,18953,20344,18847,15719,16735,17136,1512530068062
9,312,175089,175088,175084,175079,175068,175062,175061,175066,175065,175055,175054,175056,1512530068099
9,324,175055,175056,175047,175046,175044,175049,175052,175052,175054,175051,175045,175047,1512530068100
9,336,175049,175050,175042,175045,175045,175043,175048,175047,175042,175041,175034,175029,1512530068100
9,348,175031,175035,175037,175032,175027,175025,175029,175034,175031,175028,175029,175027,1512530068100
10,324,146798,146800,146798,146802,146800,146802,146792,146794,146791,146790,146796,146792,1512530068120
10,336,146790,146785,146788,146789,146792,146797,146794,146791,146792,146794,146797,146794,1512530068121
10,348,146792,146790,146786,146791,146791,146789,146791,146790,146790,146788,146786,146789,1512530068121
10,360,146790,146788,146791,146787,146793,146789,146791,146788,146786,146786,146786,146789,1512530068121
5,336,15587,15392,17868,19225,18326,17197,14815,14056,15778,15573,14710,18126,1512530068150
5,348,20068,19210,15701,14704,15836,16374,16081,16912,18498,18317,16890,15718,1512530068150
5,360,15400,14494,15440,18544,19611,18081,16818,15048,15164,14054,15853,17091,1512530068151
5,372,18232,19607,18390,16909,15761,15297,14796,16005,17564,18416,17418,16989,1512530068152
9,360,175033,175035,175033,175039,175026,175025,175029,175039,175035,175030,175035,175027,1512530068182
9,372,175027,175025,175028,175034,175036,175034,175040,175043,175037,175031,175032,175033,1512530068183
9,384,175041,175045,175045,175044,175042,175044,175043,175043,175046,175051,175057,175062,1512530068183
9,396,175068,175065,175069,175070,175071,175077,175079,175078,175072,175076,175077,175077,1512530068183
10,372,146789,146790,146791,146788,146787,146786,146780,146781,146780,146785,146784,146785,1512530068210
10,384,146790,146792,146794,146791,146792,146794,146799,146794,146799,146798,146801,146806,1512530068211
10,396,146799,146804,146804,146808,146807,146811,146812,146813,146813,146819,146819,146818,1512530068212
10,408,146819,146816,146816,146816,146813,146815,146814,146821,146820,146824,146824,146819,1512530068212
5,384,15991,15132,14022,14195,16992,17357,17408,18628,16915,15265,15045,14771,1512530068245
5,396,14979,16741,18172,19165,16877,14156,13169,15104,16886,16129,16880,17842,1512530068245
5,408,16262,16051,15438,14898,14769,15948,16124,16692,18594,18463,16195,15582,1512530068246
