format version: 0.3,v0.0.35-bluetooth-qa,16,16,11,9
1000,0,mtk00369,Male,44,173,71,12345,12345,12345,12345,12345,12345,1513662324259
9,204,153379,153371,153371,153370,153369,153365,153362,153364,153365,153362,153362,153364,1513662325402
9,216,153358,153361,153361,153361,153359,153358,153365,153365,153369,153376,153374,153376,1513662325403
9,228,153381,153389,153391,153394,153402,153409,153416,153423,153430,153438,153444,153453,1513662325403
9,240,153460,153466,153472,153476,153483,153492,153500,153510,153518,153524,153537,153546,1513662325403
10,216,171427,171433,171432,171430,171431,171434,171438,171437,171435,171433,171434,171437,1513662325430
10,228,171442,171445,171444,171446,171451,171454,171456,171458,171459,171465,171465,171473,1513662325432
10,240,171476,171481,171480,171482,171490,171500,171501,171505,171506,171514,171521,171533,1513662325433
10,252,171534,171539,171545,171548,171552,171558,171563,171569,171576,171582,171589,171594,1513662325433
5,228,-216863,-218135,-222493,-226716,-227269,-224969,-222767,-219983,-217785,-216720,-219983,-223456,1513662325482
5,240,-227295,-228167,-226191,-222509,-220221,-217113,-217757,-223285,-226210,-226195,-225328,-223184,1513662325509
5,252,-220687,-217703,-216548,-218973,-224428,-228682,-228391,-225462,-222669,-220770,-218728,-218888,1513662325509
5,264,-223642,-228120,-227754,-226967,-224854,-221302,-218401,-218354,-219748,-225021,-228598,-227615,1513662325510
9,252,153557,153564,153575,153584,153595,153604,153618,153630,153644,153658,153666,153676,1513662325526
9,264,153688,153702,153714,153723,153734,153743,153756,153773,153784,153797,153809,153822,1513662325526
9,276,153834,153847,153859,153872,153885,153899,153912,153926,153940,153957,153972,153983,1513662325527
9,288,153998,154012,154027,154039,154052,154066,154084,154095,154114,154120,154140,154151,1513662325527
10,264,171596,171602,171607,171616,171625,171633,171645,171650,171648,171653,171656,171664,1513662325545
10,276,171669,171680,171688,171696,171704,171711,171718,171727,171729,171739,171744,171748,1513662325545
10,288,171758,171761,171769,171776,171783,171791,171801,171806,171822,171834,171838,171844,1513662325546
