format version: 0.3,v0.0.35-bluetooth-qa,16,16,11,9
1000,0,mtk00642,Female,39,170,54,12345,12345,12345,12345,12345,12345,1513133402856
5,0,-15312,-87239,-121280,-132689,-140597,-146378,-151388,-159511,-169082,-175515,-177153,-178160,1513133403628
5,12,-177847,-178125,-178528,-182526,-188290,-194679,-196776,-196679,-195878,-195038,-194337,-193981,1513133403629
9,0,129450,125313,126408,127317,128058,128652,129171,129609,129970,130260,130509,130704,1513133403631
9,12,130866,130998,131101,131193,131268,131327,131375,131417,131451,131482,131506,131514,1513133403631
9,24,131526,131543,131553,131564,131568,131580,131585,131592,131596,131605,131618,131624,1513133403632
10,0,134816,133006,132396,131882,131459,131134,130837,130586,130389,130235,130104,130000,1513133403694
10,12,129907,129839,129781,129727,129690,128807,133566,137522,140836,143568,145830,147701,1513133403697
10,24,149242,150514,151575,152452,153168,153764,154263,154674,155013,155288,155518,155715,1513133403698
10,36,155877,156015,156125,156218,156304,156364,156422,156468,156512,156544,156572,156598,1513133403698
5,24,-197223,-203348,-207766,-207313,-206324,-204659,-204220,-203246,-204607,-209942,-215357,-217313,1513133403700
5,36,-216667,-215239,-213413,-212270,-211331,-213269,-217941,-222637,-222244,-221021,-219813,-218440,1513133403701
5,48,-216578,-216829,-221235,-226904,-228468,-227269,-225610,-223942,-222983,-221534,-223813,-229111,1513133403701
9,36,131630,131636,131647,131654,131667,131677,131688,131697,131712,131725,131737,131755,1513133403763
9,48,131767,131781,131787,131800,131813,131823,131831,131848,131858,131867,131879,131886,1513133403764
9,60,131900,131913,131921,131932,131941,131951,131959,131967,131978,131985,131999,132002,1513133403764
9,72,132008,132012,132014,132022,132025,132026,132031,132031,132033,132038,132031,132031,1513133403764
10,48,156623,156640,156660,156676,156699,156715,156720,156736,156747,156757,156764,156771,1513133403765
10,60,156780,156790,156797,156809,156811,156820,156822,156823,156830,156834,156839,156842,1513133403766
10,72,156847,156856,156867,156859,156866,156867,156875,156873,156871,156871,156875,156876,1513133403766
10,84,156869,156873,156873,156873,156865,156869,156870,156871,156873,156872,156869,156875,1513133403766
5,60,-233220,-232837,-232125,-230207,-228802,-226948,-227009,-231068,-236783,-238919,-237297,-235489,1513133403888
5,72,-233656,-232484,-230463,-232494,-237537,-241948,-241596,-240092,-237943,-236584,-234446,-234715,1513133403888
5,84,-238401,-242907,-244753,-244171,-243401,-241889,-240197,-237710,-239417,-244542,-248087,-247953,1513133403888
5,96,-247129,-245004,-243403,-242003,-241549,-244877,-249982,-252275,-251066,-249718,-247282,-246139,1513133403889
9,84,132035,132030,132032,132034,132040,132037,132037,132035,132039,132033,132036,132038,1513133403890
