format version: 0.3,v0.0.35-bluetooth-qa,16,16,11,9
1000,0,mtk00689,Male,43,171,90,12345,12345,12345,12345,12345,12345,1514255659614
10,204,165387,165389,165391,165393,165397,165401,165403,165401,165405,165410,165416,165419,1514255660616
10,216,165427,165430,165435,165441,165443,165448,165457,165460,165466,165472,165476,165486,1514255660616
10,228,165493,165500,165504,165510,165514,165520,165529,165534,165540,165549,165552,165564,1514255660617
10,240,165573,165581,165585,165595,165606,165613,165619,165628,165640,165642,165650,165654,1514255660617
5,216,-126814,-127165,-126815,-127007,-125617,-125659,-126903,-127035,-126702,-126588,-126373,-125944,1514255660641
5,228,-126196,-126953,-127142,-126971,-127556,-127856,-127115,-126994,-127677,-127787,-128116,-127946,1514255660642
5,240,-128131,-128101,-127993,-128473,-128347,-127726,-127837,-128175,-128326,-128984,-128584,-128885,1514255660642
5,252,-129243,-128588,-128389,-128634,-128574,-129020,-129149,-129295,-129011,-128478,-127847,-127363,1514255660643
9,228,153521,153530,153545,153553,153566,153578,153589,153608,153618,153627,153640,153652,1514255660672
9,240,153668,153682,153694,153710,153720,153727,153741,153758,153769,153782,153796,153810,1514255660673
9,252,153822,153839,153850,153866,153880,153893,153906,153919,153930,153944,153962,153977,1514255660673
9,264,153994,154015,154025,154039,154055,154069,154084,154100,154114,154127,154139,154153,1514255660673
10,252,165665,165674,165684,165692,165697,165707,165715,165718,165727,165737,165742,165752,1514255660701
10,264,165762,165775,165782,165794,165803,165812,165816,165825,165833,165840,165850,165857,1514255660703
10,276,165861,165870,165880,165887,165898,165901,165909,165921,165929,165936,165944,165952,1514255660703
10,288,165956,165962,165973,165979,165987,165998,166009,166020,166025,166036,166047,166057,1514255660704
5,264,-127163,-127043,-126256,-125216,-122764,-121260,-120008,-118531,-116728,-114854,-113397,-112950,1514255660730
5,276,-113909,-115810,-118569,-120936,-122890,-124813,-126605,-127960,-128996,-129501,-129342,-130015,1514255660731
5,288,-131117,-130847,-130319,-129187,-128527,-128957,-129023,-128163,-128939,-129471,-130436,-130257,1514255660732
5,300,-129717,-130196,-129488,-129306,-129715,-129077,-129266,-129900,-129958,-129623,-129255,-129351,1514255660732
9,276,154166,154181,154196,154209,154227,154241,154252,154267,154285,154298,154314,154334,1514255660761
9,288,154350,154367,154381,154395,154410,154421,154437,154453,154464,154480,154493,154506,1514255660762
9,300,154524,154540,154555,154573,154586,154601,154622,154635,154649,154659,154676,154693,1514255660762
9,312,154705,154721,154734,154748,154760,154775,154793,154803,154824,154839,154855,154870,1514255660763
10,300,166068,166076,166081,166097,166105,166110,166118,166127,166133,166141,166152,166159,1514255660808
10,312,166170,166178,166183,166196,166203,166212,166219,166230,166242,166250,166253,166264,1514255660810
10,324,166270,166280,166286,166294,166305,166312,166320,166323,166333,166340,166347,166357,1514255660810
5,312,-129223,-129130,-129407,-129396,-129833,-130127,-129723,-129519,-129205,-129456,-129712,-129870,1514255660823
5,324,-129803,-129553,-130105,-129250,-128936,-128259,-129103,-129276,-129252,-129615,-129577,-130235,1514255660823
5,336,-129929,-129186,-128781,-129583,-129907,-129383,-129418,-129758,-128499,-127992,-129043,-128799,1514255660824
5,348,-128291,-128964,-128958,-128984,-129398,-129055,-129210,-128752,-128227,-128391,-128534,-128376,1514255660824
9,324,154882,154895,154912,154925,154937,154951,154965,154983,154994,155014,155030,155040,1514255660851
9,336,155053,155067,155081,155098,155113,155125,155137,155154,155168,155182,155191,155203,1514255660851
9,348,155217,155226,155244,155258,155270,155279,155294,155305,155312,155327,155337,155347,1514255660852
9,360,155354,155368,155377,155384,155395,155398,155400,155409,155413,155411,155410,155412,1514255660853
10,336,166364,166374,166384,166396,166406,166412,166419,166426,166430,166440,166449,166457,1514255660887
10,348,166463,166473,166481,166491,166495,166501,166510,166520,166523,166532,166536,166540,1514255660887
10,360,166543,166551,166554,166560,166562,166565,166570,166576,166578,166580,166582,166578,1514255660888
10,372,166580,166579,166573,166571,166568,166563,166552,166547,166536,166529,166516,166505,1514255660888
5,360,-127941,-127173,-127719,-128602,-128333,-128056,-128313,-127997,-127731,-127913,-128004,-127234,1514255660911
5,372,-126466,-126031,-126802,-126202,-126346,-127184,-126432,-126102,-125880,-126510,-126585,-126414,1514255660912
5,384,-127001,-126306,-126098,-126670,-126844,-126326,-125837,-125704,-125873,-125963,-126244,-126423,1514255660913
9,372,155408,155400,155394,155392,155380,155368,155356,155339,155324,155303,155284,155261,1514255660942
9,384,155239,155211,155183,155156,155122,155088,155050,155017,154974,154930,154889,154845,1514255660944
9,396,154803,154753,154707,154665,154611,154564,154513,154462,154413,154361,154312,154259,1514255660950
9,408,154203,154152,154107,154057,154006,153956,153905,153855,153811,153764,153724,153681,1514255660952
10,384,166490,166476,166456,166438,166420,166401,166383,166357,166336,166319,166293,166266,1514255660971
10,396,166241,166216,166193,166162,166133,166103,166076,166046,166017,165989,165961,165929,1514255660971
10,408,165900,165871,165842,165810,165782,165756,165732,165704,165673,165646,165621,165595,1514255660972
10,420,165569,165542,165521,165500,165479,165457,165437,165415,165397,165375,165357,165338,1514255660973
5,396,-127056,-126823,-126759,-127765,-127350,-126549,-126356,-126406,-125885,-126430,-126871,-126861,1514255661002
5,408,-126359,-127353,-127921,-127375,-127992,-129286,-129126,-128257,-128721,-128800,-128936,-129716,1514255661003
5,420,-129624,-129065,-128499,-129051,-129143,-129342,-130640,-130292,-130105,-130305,-129770,-130302,1514255661004
5,432,-130518,-131202,-130880,-130178,-129897,-130454,-130738,-130375,-130434,-130306,-130667,-131357,1514255661004
9,420,153636,153599,153554,153515,153476,153439,153400,153365,153334,153303,153275,153249,1514255661036
9,432,153218,153188,153166,153141,153115,153092,153067,153045,153025,153009,152990,152974,1514255661039
9,444,152959,152941,152927,152914,152903,152891,152877,152866,152860,152849,152838,152833,1514255661040
9,456,152827,152819,152816,152813,152813,152805,152803,152801,152798,152798,152796,152791,1514255661040
10,432,165321,165303,165286,165274,165257,165243,165231,165219,165205,165196,165185,165179,1514255661061
10,444,165167,165157,165147,165140,165133,165122,165113,165108,165103,165103,165097,165090,1514255661061
10,456,165087,165083,165079,165078,165078,165074,165073,165071,165068,165066,165062,165062,1514255661062
10,468,165064,165060,165061,165058,165061,165057,165059,165059,165063,165066,165069,165074,1514255661062
5,444,-130540,-130883,-130737,-130751,-130409,-131558,-131111,-129462,-130016,-131227,-131102,-131056,1514255661092
5,456,-130686,-130294,-130469,-130525,-131213,-131277,-131399,-131002,-130370,-130772,-131007,-130203,1514255661093
5,468,-130184,-130288,-130770,-130847,-130911,-131150,-131007,-131417,-132369,-132608,-132143,-131228,1514255661094
5,480,-131260,-131099,-131248,-131227,-131508,-131319,-131439,-131143,-130467,-130543,-131073,-131906,1514255661095
9,468,152791,152790,152790,152792,152790,152796,152798,152805,152806,152812,152819,152824,1514255661121
9,480,152833,152846,152851,152860,152871,152883,152894,152903,152918,152929,152943,152956,1514255661121
9,492,152973,152990,153009,153020,153037,153053,153069,153086,153103,153124,153146,153163,1514255661122
9,504,153184,153199,153215,153235,153254,153272,153293,153316,153331,153348,153371,153387,1514255661122
10,480,165076,165081,165085,165089,165095,165098,165102,165110,165116,165123,165130,165133,1514255661167
10,492,165145,165158,165166,165180,165187,165194,165205,165219,165228,165236,165247,165260,1514255661168
10,504,165271,165281,165286,165299,165310,165323,165332,165344,165359,165367,165377,165387,1514255661168
10,516,165392,165400,165406,165420,165428,165441,165450,165462,165467,165475,165482,165490,1514255661170
5,492,-130875,-129810,-130693,-131241,-131540,-131815,-131229,-130724,-130488,-130570,-131531,-131573,1514255661224
5,504,-131597,-131500,-131349,-131196,-131354,-132223,-132411,-131565,-131145,-131664,-131601,-132192,1514255661224
5,516,-132861,-132816,-131164,-131189,-131610,-131552,-131454,-131240,-131968,-132472,-131724,-131697,1514255661225
5,528,-132225,-132326,-131303,-131342,-131794,-131986,-131621,-131156,-131464,-132342,-132301,-132007,1514255661225
9,516,153407,153427,153440,153455,153473,153486,153502,153519,153533,153546,153558,153573,1514255661240
9,528,153581,153591,153603,153615,153625,153636,153645,153656,153660,153669,153675,153684,1514255661241
9,540,153690,153699,153702,153710,153715,153721,153731,153741,153750,153752,153763,153764,1514255661241
9,552,153771,153775,153784,153793,153796,153804,153812,153816,153825,153824,153830,153844,1514255661242
9,564,153849,153856,153865,153871,153879,153883,153892,153900,153906,153918,153927,153933,1514255661242
10,528,165497,165501,165509,165515,165521,165529,165534,165538,165540,165550,165550,165555,1514255661272
10,540,165561,165567,165571,165575,165579,165585,165586,165590,165593,165594,165600,165601,1514255661273
10,552,165604,165606,165609,165616,165622,165625,165628,165627,165635,165637,165643,165647,1514255661273
10,564,165655,165657,165660,165662,165670,165671,165677,165677,165681,165684,165688,165695,1514255661273
10,576,165701,165704,165705,165714,165716,165717,165728,165730,165738,165744,165749,165756,1514255661274
5,540,-131513,-131520,-131017,-130962,-131604,-131054,-130752,-130502,-131214,-131979,-131906,-131658,1514255661302
5,552,-131249,-130563,-131244,-131520,-131701,-131570,-130925,-130909,-131422,-131259,-130719,-131285,1514255661303
5,564,-131901,-131350,-130391,-131287,-131979,-131777,-131333,-131215,-131462,-131387,-131468,-132288,1514255661305
5,576,-132337,-130906,-130908,-131190,-131327,-131900,-132345,-131431,-131038,-131583,-131673,-132274,1514255661305
5,588,-132201,-132014,-132352,-132475,-132593,-132504,-132439,-133121,-133285,-133021,-133192,-133268,1514255661306
9,576,153943,153952,153962,153973,153980,153988,153997,154003,154007,154016,154027,154038,1514255661331
9,588,154050,154062,154072,154080,154089,154102,154112,154121,154132,154143,154153,154163,1514255661332
9,600,154178,154187,154204,154212,154221,154228,154241,154251,154265,154277,154283,154298,1514255661332
10,588,165759,165766,165775,165780,165788,165791,165801,165800,165808,165813,165818,165822,1514255661406
10,600,165832,165838,165842,165851,165857,165865,165871,165882,165883,165896,165894,165899,1514255661408
10,612,165903,165912,165919,165928,165935,165939,165944,165946,165956,165960,165968,165974,1514255661409
10,624,165978,165985,165989,165999,166001,166012,166017,166024,166030,166038,166044,166051,1514255661409
5,600,-132961,-134144,-133509,-133075,-133592,-133335,-132907,-132829,-132625,-133228,-133286,-132579,1514255661410
5,612,-132310,-132916,-132423,-131938,-131904,-130458,-129877,-128977,-127754,-126978,-125087,-123310,1514255661410
5,624,-121382,-119353,-118373,-118035,-118248,-118978,-121428,-123861,-125900,-126596,-128693,-130788,1514255661411
5,636,-131649,-132706,-133790,-134470,-134510,-133734,-133111,-133524,-133714,-133368,-132985,-132794,1514255661411
9,612,154303,154317,154322,154333,154346,154357,154363,154376,154385,154392,154404,154418,1514255661418
9,624,154429,154446,154455,154469,154478,154496,154503,154519,154531,154542,154553,154568,1514255661419
9,636,154579,154589,154601,154610,154623,154634,154650,154662,154674,154687,154706,154721,1514255661419
9,648,154729,154744,154758,154772,154784,154793,154805,154815,154832,154847,154858,154873,1514255661420
10,636,166058,166063,166071,166077,166084,166093,166100,166106,166112,166122,166129,166133,1514255661453
10,648,166145,166150,166158,166165,166174,166183,166192,166196,166201,166212,166216,166223,1514255661456
10,660,166233,166236,166246,166254,166262,166268,166281,166289,166294,166305,166310,166317,1514255661456
10,672,166325,166330,166339,166350,166352,166365,166371,166380,166389,166394,166403,166409,1514255661456
5,648,-132604,-133456,-133825,-134438,-135554,-133872,-132351,-132146,-133003,-133470,-133495,-133970,1514255661497
