format version: 0.3,v0.0.35-bluetooth-qa,16,16,11,9
1000,0,mtk00791,Male,44,180,75,12345,12345,12345,12345,12345,12345,1514164453393
5,0,-796,-5245,-10653,-14227,-18307,-22832,-24841,-24256,-24927,-25405,-25398,-25054,1514164454045
5,12,-25719,-28306,-31037,-31727,-30658,-29639,-28860,-28940,-28295,-29773,-32777,-34445,1514164454045
9,0,129702,126145,128562,130550,132190,133549,134668,135605,136367,136992,137511,137932,1514164454046
9,12,138281,138562,138796,138992,139161,139292,139404,139498,139574,139635,139685,139721,1514164454046
9,24,139758,139785,139810,139824,139842,139857,139868,139877,139882,139889,139895,139895,1514164454047
10,0,134780,133037,132422,131913,131485,131143,130854,130612,130437,130287,130157,130052,1514164454048
10,12,129966,129896,129832,129787,129749,129325,134586,138972,142649,145672,148167,150237,1514164454049
10,24,151951,153364,154533,155500,156295,156954,157502,157954,158330,158641,158891,159099,1514164454049
10,36,159274,159418,159535,159633,159714,159781,159835,159874,159918,159948,159968,159991,1514164454049
5,24,-33573,-32753,-31914,-31613,-30072,-30175,-32586,-35444,-36070,-35053,-34016,-33039,1514164454050
5,36,-32520,-31573,-32997,-35359,-37241,-36288,-35585,-34676,-34063,-32230,-32557,-35319,1514164454051
5,48,-38044,-37904,-36618,-35919,-35472,-35246,-34192,-35594,-37391,-39002,-38485,-38002,1514164454051
9,36,139901,139903,139905,139902,139901,139897,139894,139891,139886,139882,139878,139873,1514164454130
9,48,139867,139860,139858,139849,139845,139841,139837,139828,139824,139819,139811,139806,1514164454131
9,60,139804,139803,139808,139803,139803,139804,139805,139813,139814,139823,139826,139836,1514164454131
9,72,139838,139846,139850,139856,139860,139871,139878,139882,139889,139898,139909,139915,1514164454131
10,48,160011,160020,160036,160044,160049,160050,160053,160061,160060,160062,160061,160064,1514164454132
10,60,160060,160058,160062,160066,160066,160071,160072,160077,160082,160084,160088,160094,1514164454133
10,72,160094,160096,160102,160104,160110,160114,160116,160121,160126,160132,160142,160149,1514164454133
10,84,160152,160151,160153,160159,160166,160170,160174,160182,160189,160197,160194,160206,1514164454133
5,60,-36952,-35928,-34933,-35092,-36622,-38953,-40057,-39458,-38172,-37071,-36581,-35622,1514164454193
5,72,-36744,-39124,-40868,-40236,-39690,-38266,-37041,-35976,-36083,-38374,-40839,-41294,1514164454194
5,84,-40302,-39440,-38229,-37364,-36718,-37524,-39858,-41948,-40825,-40115,-39406,-38592,1514164454194
5,96,-37504,-36768,-38960,-41955,-42853,-41907,-40807,-39725,-38314,-37053,-37966,-41390,1514164454194
9,84,139925,139936,139949,139955,139959,139966,139975,139980,139990,139997,139999,140007,1514164454195
9,96,140014,140020,140030,140038,140043,140045,140051,140057,140059,140062,140065,140070,1514164454196
9,108,140074,140080,140084,140085,140090,140096,140096,140098,140101,140107,140111,140111,1514164454196
9,120,140111,140113,140112,140111,140116,140117,140120,140125,140123,140131,140134,140135,1514164454213
10,96,160209,160210,160213,160213,160220,160221,160225,160229,160231,160233,160233,160236,1514164454214
10,108,160241,160243,160244,160250,160252,160252,160259,160257,160258,160262,160260,160259,1514164454214
10,120,160261,160261,160265,160264,160261,160264,160263,160265,160266,160271,160270,160270,1514164454214
10,132,160275,160273,160279,160278,160285,160288,160290,160294,160293,160293,160295,160293,1514164454215
5,108,-43506,-42815,-41963,-40577,-39399,-38660,-38129,-39489,-42579,-43976,-42817,-41326,1514164454359
5,120,-40276,-39536,-38899,-39820,-42175,-44215,-43976,-42809,-41809,-40786,-40007,-39448,1514164454360
5,132,-41439,-43931,-44637,-43704,-42915,-41747,-40454,-38812,-40181,-42820,-44987,-45256,1514164454360
5,144,-44383,-42798,-41416,-40779,-40495,-42149,-44453,-45588,-44826,-43903,-42747,-41961,1514164454360
5,156,-41088,-41466,-43300,-46052,-45615,-44932,-43801,-43004,-42276,-41734,-42979,-45084,1514164454360
9,132,140138,140141,140142,140141,140142,140143,140144,140148,140151,140152,140155,140161,1514164454361
9,144,140162,140168,140166,140172,140179,140182,140183,140188,140189,140196,140197,140201,1514164454362
9,156,140205,140207,140212,140220,140219,140224,140227,140232,140237,140241,140245,140249,1514164454362
9,168,140256,140263,140267,140271,140281,140286,140290,140298,140307,140313,140319,140323,1514164454362
10,144,160298,160304,160303,160310,160313,160312,160315,160317,160321,160321,160324,160329,1514164454363
10,156,160328,160328,160335,160339,160343,160349,160348,160354,160359,160359,160363,160367,1514164454363
10,168,160371,160373,160377,160380,160381,160388,160389,160393,160397,160405,160408,160408,1514164454363
10,180,160414,160422,160428,160431,160425,160438,160441,160443,160446,160454,160460,160469,1514164454363
5,168,-46133,-45950,-45265,-43555,-43068,-41906,-41914,-43909,-46466,-46511,-45472,-44430,1514164454364
5,180,-43908,-42993,-41949,-43460,-45942,-47235,-46046,-45354,-44200,-43948,-43362,-43124,1514164454365
5,192,-44834,-47271,-47670,-46271,-44958,-44117,-43249,-42572,-43716,-46500,-48254,-46990,1514164454365
9,180,140332,140342,140347,140357,140365,140370,140383,140388,140398,140406,140415,140426,1514164454365
9,192,140432,140440,140450,140459,140468,140479,140487,140494,140498,140504,140510,140518,1514164454366
9,204,140520,140527,140530,140537,140543,140548,140552,140557,140565,140567,140570,140574,1514164454366
9,216,140581,140586,140584,140592,140586,140596,140601,140608,140612,140610,140622,140629,1514164454366
10,192,160472,160479,160485,160494,160496,160499,160503,160510,160512,160516,160528,160526,1514164454379
10,204,160528,160535,160533,160540,160542,160540,160537,160548,160551,160554,160551,160551,1514164454379
10,216,160555,160553,160561,160564,160572,160575,160574,160580,160585,160584,160585,160582,1514164454380
10,228,160589,160592,160589,160593,160589,160595,160595,160599,160597,160606,160609,160608,1514164454380
5,204,-46080,-44766,-43654,-42510,-42933,-45511,-48206,-48463,-47260,-46435,-45437,-44941,1514164454431
5,216,-43630,-44923,-47238,-49177,-47973,-46787,-45737,-45254,-44491,-44641,-46412,-48716,1514164454432
5,228,-48910,-48097,-47171,-45891,-45173,-44162,-45709,-48414,-50426,-49559,-48832,-47382,1514164454432
5,240,-46065,-44679,-45206,-47437,-49574,-50072,-48997,-47877,-46714,-46355,-45147,-46700,1514164454433
9,228,140633,140637,140637,140644,140647,140652,140662,140658,140664,140666,140670,140669,1514164454441
9,240,140674,140682,140682,140689,140693,140698,140698,140706,140710,140714,140720,140720,1514164454442
9,252,140720,140726,140734,140734,140741,140744,140746,140751,140754,140756,140759,140763,1514164454442
9,264,140764,140765,140769,140769,140770,140770,140770,140768,140772,140770,140766,140765,1514164454443
10,240,160613,160618,160620,160623,160628,160633,160636,160633,160630,160638,160640,160639,1514164454477
10,252,160646,160647,160649,160659,160655,160662,160658,160661,160657,160661,160663,160668,1514164454478
10,264,160667,160670,160671,160670,160672,160675,160676,160666,160666,160665,160664,160668,1514164454479
10,276,160668,160669,160672,160668,160669,160668,160671,160673,160674,160668,160663,160664,1514164454479
5,252,-48937,-50080,-49052,-48716,-47563,-46571,-45687,-45695,-47382,-49390,-49290,-47263,1514164454501
5,264,-45901,-43727,-41794,-39768,-39389,-40766,-42332,-42301,-42639,-42804,-43841,-44145,1514164454502
5,276,-45447,-49049,-53178,-54097,-53457,-52717,-50700,-49532,-47835,-48566,-50862,-52392,1514164454502
5,288,-51618,-49886,-48250,-47391,-46673,-46206,-48112,-50745,-51249,-49967,-49585,-48394,1514164454503
9,276,140772,140771,140775,140772,140769,140767,140768,140772,140772,140774,140775,140771,1514164454530
9,288,140781,140780,140779,140785,140791,140796,140797,140800,140801,140813,140820,140826,1514164454531
9,300,140828,140830,140837,140843,140848,140855,140852,140863,140860,140868,140865,140872,1514164454531
9,312,140870,140882,140883,140888,140886,140892,140897,140897,140908,140904,140902,140911,1514164454532
10,288,160665,160670,160675,160675,160682,160685,160686,160686,160685,160681,160683,160687,1514164454561
10,300,160684,160685,160694,160693,160704,160707,160710,160709,160714,160719,160718,160722,1514164454562
10,312,160727,160733,160734,160737,160740,160738,160743,160745,160741,160748,160748,160752,1514164454562
10,324,160747,160754,160758,160765,160763,160765,160766,160767,160768,160773,160775,160777,1514164454563
5,300,-47210,-45937,-46997,-49538,-51649,-51110,-50166,-49145,-47815,-46833,-46278,-47594,1514164454593
5,312,-50369,-51316,-50151,-49419,-48691,-48327,-46809,-46968,-49304,-51762,-50965,-49701,1514164454593
5,324,-48782,-48204,-48228,-47626,-48775,-50964,-51923,-50901,-49576,-48613,-48173,-47003,1514164454594
5,336,-47426,-49457,-51501,-51463,-50380,-48742,-47755,-47526,-47009,-48173,-50783,-52023,1514164454594
9,324,140913,140924,140930,140926,140936,140934,140949,140948,140960,140958,140959,140971,1514164454623
9,336,140973,140977,140992,140998,141002,141015,141028,141036,141043,141048,141058,141070,1514164454625
9,348,141075,141084,141095,141098,141102,141117,141119,141130,141133,141143,141147,141143,1514164454625
10,336,160783,160787,160791,160796,160802,160804,160807,160813,160816,160829,160834,160845,1514164454655
10,348,160847,160858,160859,160867,160865,160868,160874,160879,160875,160881,160880,160885,1514164454656
10,360,160887,160895,160889,160894,160897,160899,160901,160901,160906,160904,160904,160906,1514164454656
10,372,160902,160900,160895,160892,160896,160892,160892,160881,160884,160873,160870,160860,1514164454657
5,348,-50769,-49514,-48728,-48704,-47236,-47615,-49724,-51812,-51596,-50675,-48902,-47862,1514164454697
5,360,-47280,-47097,-48294,-50122,-51066,-50061,-49373,-48480,-47484,-46353,-46341,-48359,1514164454697
5,372,-51079,-51376,-50137,-48651,-46751,-46737,-46448,-47293,-49033,-50057,-49728,-48912,1514164454698
5,384,-47058,-45847,-44397,-44454,-46741,-49429,-49751,-48571,-47142,-45531,-45034,-44197,1514164454698
9,360,141149,141159,141155,141164,141168,141174,141174,141177,141181,141180,141178,141185,1514164454725
9,372,141183,141180,141176,141172,141169,141165,141161,141156,141144,141133,141125,141115,1514164454725
9,384,141098,141085,141065,141053,141026,141009,140982,140958,140933,140908,140877,140854,1514164454726
9,396,140827,140796,140766,140732,140696,140668,140635,140605,140573,140542,140514,140477,1514164454726
9,408,140439,140406,140377,140352,140318,140282,140259,140230,140201,140178,140152,140131,1514164454726
10,384,160851,160848,160837,160826,160815,160809,160795,160783,160769,160756,160739,160727,1514164454757
10,396,160716,160700,160687,160670,160652,160638,160614,160602,160577,160568,160553,160535,1514164454757
10,408,160521,160502,160495,160474,160456,160443,160429,160419,160403,160395,160381,160370,1514164454758
10,420,160360,160352,160335,160326,160319,160312,160299,160294,160287,160279,160274,160272,1514164454758
5,396,-45112,-47608,-48990,-47981,-47322,-46041,-45187,-44364,-44475,-46395,-48673,-48766,1514164454788
5,408,-47789,-47142,-45932,-45074,-44421,-45725,-47895,-50289,-49978,-49220,-47887,-46898,1514164454789
5,420,-46341,-46994,-48585,-51338,-52003,-51362,-50885,-49718,-48970,-48483,-50027,-52349,1514164454789
5,432,-54299,-53205,-52537,-52182,-51634,-50525,-49765,-51925,-54866,-55457,-54848,-54056,1514164454790
9,420,140107,140087,140066,140050,140031,140016,139998,139982,139970,139954,139939,139927,1514164454820
9,432,139918,139911,139901,139898,139889,139882,139877,139871,139869,139866,139865,139859,1514164454821
9,444,139857,139860,139860,139861,139862,139864,139867,139867,139871,139870,139875,139879,1514164454821
9,456,139883,139886,139888,139893,139895,139899,139905,139906,139913,139921,139921,139926,1514164454821
10,432,160267,160267,160259,160256,160260,160251,160252,160254,160251,160251,160252,160252,1514164454845
10,444,160247,160246,160251,160256,160255,160259,160263,160271,160271,160279,160283,160281,1514164454845
10,456,160282,160286,160290,160299,160298,160299,160303,160307,160310,160313,160318,160319,1514164454846
10,468,160320,160321,160326,160331,160336,160333,160337,160337,160341,160344,160350,160348,1514164454846
5,444,-52589,-51865,-50407,-51765,-54138,-55977,-55075,-53843,-52955,-52487,-51738,-51708,1514164454879
5,456,-53657,-55830,-56492,-55545,-54177,-53141,-52713,-51935,-52794,-55259,-57306,-56179,1514164454881
5,468,-54869,-54201,-53491,-52435,-51824,-53335,-55848,-57006,-56200,-55320,-53868,-53076,1514164454881
5,480,-52382,-52890,-54715,-56735,-56425,-55718,-54519,-53306,-52641,-52023,-53941,-56575,1514164454881
9,468,139933,139935,139936,139940,139943,139945,139946,139947,139950,139949,139954,139957,1514164454946
9,480,139961,139963,139962,139964,139965,139972,139974,139975,139980,139982,139985,139986,1514164454947
9,492,139992,139996,140003,140006,140012,140016,140022,140022,140030,140036,140044,140052,1514164454947
9,504,140058,140065,140071,140078,140092,140102,140110,140120,140130,140139,140141,140154,1514164454947
10,480,160358,160359,160355,160357,160353,160357,160359,160360,160359,160360,160362,160369,1514164454979
10,492,160372,160381,160381,160383,160384,160386,160390,160393,160399,160403,160400,160410,1514164454980
10,504,160411,160418,160427,160428,160426,160434,160436,160446,160447,160459,160467,160469,1514164454980
10,516,160474,160480,160488,160492,160495,160502,160508,160513,160517,160521,160524,160529,1514164454981
10,528,160531,160537,160532,160540,160542,160547,160551,160550,160559,160563,160562,160561,1514164454981
5,492,-57383,-56650,-55503,-53820,-52987,-52535,-53542,-55370,-57300,-57007,-56166,-54765,1514164454999
5,504,-53656,-53024,-53390,-55076,-56997,-57604,-56455,-55966,-54906,-54479,-53530,-54092,1514164454999
5,516,-56105,-58219,-58075,-56806,-55683,-54915,-53376,-53388,-55239,-57751,-58540,-57145,1514164455002
