format version: 0.3,v0.0.35-bluetooth-qa,16,16,11,9
1000,0,mtk00642,Female,39,170,54,12345,12345,12345,12345,12345,12345,1513133203096
5,0,-16970,-88789,-109713,-113412,-118965,-124525,-131313,-134331,-139719,-145462,-146533,-148568,1513133203735
5,12,-153900,-158197,-160927,-165056,-167408,-169653,-172407,-174388,-176004,-179118,-181169,-183033,1513133203736
9,0,129694,126393,129096,131322,133160,134680,135939,136980,137832,138530,139103,139578,1513133203737
9,12,139961,140283,140544,140761,140936,141079,141201,141299,141373,141439,141495,141541,1513133203737
9,24,141578,141610,141637,141659,141673,141687,141695,141701,141714,141717,141721,141729,1513133203737
10,0,134797,133032,132422,131907,131485,131140,130848,130603,130429,130284,130156,130055,1513133203738
10,12,129968,129898,129842,129790,129757,130852,137794,143626,148441,152417,155707,158426,1513133203739
10,24,160674,162535,164072,165334,166388,167257,167979,168573,169065,169470,169806,170087,1513133203739
10,36,170315,170501,170660,170792,170896,170986,171058,171122,171166,171207,171243,171271,1513133203739
5,24,-186359,-190131,-191710,-192179,-192021,-192654,-194689,-197764,-199677,-201797,-202788,-204316,1513133203836
5,36,-204728,-206026,-208344,-209757,-211072,-212612,-213175,-215208,-215698,-215586,-216347,-217129,1513133203838
5,48,-219396,-220887,-222773,-225000,-226398,-226630,-225265,-226161,-227230,-226684,-229535,-230979,1513133203838
9,36,141729,141731,141731,141732,141732,141733,141733,141737,141739,141739,141738,141739,1513133203839
9,48,141735,141737,141737,141736,141740,141742,141742,141744,141742,141746,141742,141750,1513133203839
9,60,141748,141754,141759,141763,141766,141774,141779,141782,141791,141793,141807,141814,1513133203840
9,72,141823,141838,141846,141854,141866,141872,141882,141900,141908,141923,141934,141946,1513133203840
10,48,171290,171312,171327,171343,171356,171362,171369,171374,171380,171384,171390,171395,1513133203841
10,60,171399,171396,171403,171407,171412,171416,171422,171423,171426,171435,171433,171439,1513133203841
10,72,171448,171452,171457,171464,171469,171468,171478,171485,171489,171499,171504,171509,1513133203841
10,84,171519,171527,171532,171541,171548,171557,171561,171572,171575,171582,171585,171588,1513133203841
5,60,-231494,-230797,-231504,-231897,-233725,-234800,-235309,-236270,-237781,-239331,-239874,-239341,1513133203894
5,72,-240228,-241686,-242469,-243445,-245094,-246797,-245774,-245717,-246821,-248631,-249278,-250316,1513133203894
5,84,-249992,-251148,-252010,-251966,-251371,-250993,-251911,-252793,-255137,-256608,-257172,-257397,1513133203895
5,96,-257700,-256345,-256872,-257877,-259014,-260284,-261003,-261402,-261297,-260491,-261583,-262166,1513133203895
9,84,141963,141972,141988,142003,142018,142033,142043,142053,142068,142084,142094,142106,1513133203898
9,96,142116,142126,142138,142145,142156,142165,142173,142182,142192,142202,142209,142217,1513133203898
9,108,142226,142233,142234,142237,142242,142251,142254,142256,142261,142265,142266,142265,1513133203899
9,120,142267,142268,142273,142269,142269,142274,142272,142276,142278,142277,142276,142273,1513133203899
10,96,171597,171608,171612,171621,171627,171633,171639,171641,171641,171646,171654,171652,1513133203901
10,108,171655,171657,171662,171668,171668,171673,171674,171677,171679,171676,171681,171684,1513133203901
10,120,171686,171680,171684,171689,171687,171685,171687,171686,171680,171675,171675,171681,1513133203901
10,132,171679,171677,171673,171677,171676,171674,171674,171675,171675,171674,171670,171667,1513133203902
5,108,-261364,-262307,-264715,-265632,-265150,-265114,-263913,-265968,-266715,-267673,-268827,-269840,1513133204087
5,120,-270083,-270471,-270502,-270349,-270409,-271453,-272594,-273230,-272725,-271804,-272682,-272587,1513133204087
5,132,-274190,-275879,-276227,-276866,-277335,-277451,-278857,-278533,-278774,-279792,-280363,-281673,1513133204088
5,144,-282874,-283166,-282820,-282594,-281243,-282162,-282655,-283754,-283973,-284915,-286838,-287283,1513133204088
9,132,142272,142275,142271,142270,142268,142272,142269,142267,142262,142261,142259,142258,1513133204089
9,144,142256,142256,142255,142254,142251,142246,142246,142250,142246,142245,142245,142246,1513133204089
9,156,142249,142253,142254,142258,142260,142261,142266,142265,142271,142270,142275,142279,1513133204090
10,144,171665,171665,171658,171658,171664,171660,171663,171660,171664,171660,171662,171660,1513133204091
10,156,171663,171668,171668,171670,171666,171674,171675,171676,171672,171677,171683,171680,1513133204091
10,168,171684,171691,171694,171697,171696,171698,171705,171708,171711,171706,171715,171719,1513133204091
10,180,171720,171722,171726,171730,171738,171746,171748,171755,171759,171765,171770,171772,1513133204091
5,156,-287330,-288060,-289279,-289827,-290860,-293534,-293394,-292860,-292203,-290323,-291125,-292336,1513133204092
5,168,-292466,-293274,-294523,-294443,-294007,-294279,-294708,-296325,-296992,-297771,-298274,-299036,1513133204093
5,180,-299505,-298364,-297782,-298914,-299992,-300776,-301370,-301388,-301287,-301438,-301452,-302342,1513133204093
5,192,-301574,-301470,-302256,-301612,-303847,-304526,-303850,-303150,-304155,-304694,-304378,-304762,1513133204093
9,168,142282,142285,142289,142295,142295,142305,142310,142317,142321,142329,142336,142342,1513133204094
9,180,142347,142354,142360,142365,142376,142381,142392,142400,142409,142419,142423,142433,1513133204094
9,192,142444,142451,142459,142471,142477,142482,142494,142506,142513,142523,142527,142538,1513133204095
9,204,142548,142560,142566,142576,142588,142594,142605,142612,142618,142625,142636,142647,1513133204095
10,192,171772,171779,171782,171790,171796,171800,171802,171811,171816,171821,171824,171831,1513133204096
10,204,171837,171839,171846,171850,171851,171858,171859,171869,171869,171875,171883,171887,1513133204096
10,216,171886,171890,171897,171899,171908,171916,171916,171918,171926,171932,171938,171942,1513133204096
5,204,-306394,-308168,-308080,-309079,-309151,-309673,-310420,-310927,-310729,-311864,-312077,-311756,1513133204110
5,216,-310787,-311598,-313161,-313005,-312291,-313190,-315899,-315610,-314039,-315093,-316335,-316853,1513133204110
5,228,-317181,-317453,-318552,-319418,-319168,-318341,-318694,-319063,-319380,-321073,-322796,-323061,1513133204111
5,240,-322717,-322706,-322593,-323040,-322982,-322604,-321725,-322255,-323302,-323920,-323172,-322325,1513133204111
9,216,142655,142664,142671,142678,142687,142691,142697,142711,142722,142728,142735,142742,1513133204146
9,228,142746,142755,142761,142767,142775,142779,142787,142790,142797,142800,142807,142816,1513133204146
9,240,142826,142832,142836,142844,142854,142861,142868,142878,142882,142890,142901,142905,1513133204146
