format version: 0.3,v0.0.35-bluetooth-qa,16,16,11,9
1000,0,mtk00448,Male,43,177,68,12345,12345,12345,12345,12345,12345,1513665882938
5,0,-45359,-233901,-283493,-283162,-283053,-281535,-282002,-281139,-281227,-282984,-285476,-286505,1513665883538
5,12,-287023,-286190,-285287,-284430,-283856,-285226,-288637,-290476,-289007,-288299,-288366,-287882,1513665883539
9,0,129449,127526,131461,134692,137348,139536,141335,142814,144019,145010,145810,146459,1513665883541
9,12,146991,147420,147768,148048,148280,148463,148609,148725,148812,148890,148952,149002,1513665883541
9,24,149042,149079,149110,149132,149158,149177,149197,149216,149234,149246,149268,149284,1513665883542
10,0,134804,133037,132425,131917,131496,131148,130844,130602,130425,130270,130153,130055,1513665883612
10,12,129965,129900,129846,129797,129759,130960,138018,143944,148829,152873,156209,158973,1513665883613
10,24,161255,163143,164706,165994,167061,167946,168675,169281,169788,170206,170554,170847,1513665883614
10,36,171086,171289,171452,171596,171714,171814,171903,171974,172038,172096,172148,172189,1513665883614
5,24,-286853,-287464,-289504,-290916,-291229,-291472,-290052,-289269,-288879,-288360,-289042,-291043,1513665883615
5,36,-293098,-292342,-290691,-290318,-290866,-290511,-289196,-290196,-293760,-293404,-292235,-292673,1513665883616
5,48,-292447,-291409,-289505,-290025,-292292,-295067,-294349,-293584,-292900,-291498,-290281,-290117,1513665883617
9,36,149303,149325,149343,149364,149389,149416,149438,149464,149490,149520,149543,149578,1513665883618
9,48,149609,149640,149673,149699,149732,149768,149804,149834,149868,149904,149942,149979,1513665883619
9,60,150011,150043,150080,150120,150157,150193,150227,150269,150305,150346,150385,150422,1513665883619
9,72,150464,150505,150538,150576,150614,150645,150682,150724,150760,150793,150827,150860,1513665883619
10,48,172233,172264,172291,172322,172348,172371,172399,172422,172441,172469,172492,172509,1513665883680
10,60,172533,172555,172573,172597,172618,172642,172661,172683,172702,172725,172741,172765,1513665883680
10,72,172786,172807,172825,172844,172862,172882,172901,172919,172939,172954,172969,172989,1513665883680
10,84,173005,173020,173040,173059,173070,173087,173101,173113,173128,173142,173150,173161,1513665883681
5,60,-292175,-295494,-296022,-295164,-293300,-293062,-292633,-292145,-291904,-293866,-296617,-297513,1513665883682
5,72,-296490,-294760,-293249,-291726,-291995,-293611,-296085,-296395,-296391,-296324,-294322,-293507,1513665883683
5,84,-293008,-294607,-295179,-296053,-296944,-296434,-295167,-295866,-293480,-293454,-295229,-297208,1513665883683
5,96,-297745,-297168,-296142,-295476,-295051,-294525,-294280,-296810,-298955,-299093,-299522,-296691,1513665883683
9,84,150892,150925,150950,150982,151012,151043,151069,151097,151122,151145,151172,151203,1513665883782
9,96,151221,151248,151267,151288,151305,151325,151337,151359,151369,151385,151399,151408,1513665883784
9,108,151423,151427,151437,151446,151451,151453,151460,151466,151466,151471,151477,151473,1513665883785
